Car Brand,Car Model,Model Year,Car Price (in $),Car Mileage (in miles)
Mazda,Mazda2,2011,5499,144649
Chevrolet,Camaro,2021,44500,7272
Mercedes-Benz,GLC,2021,45995,23111
INFINITI,M,2012,8499,183663
Ford,Explorer,2019,31995,32085
Porsche,911,2014,93998,58855
Ford,Explorer,2019,32990,52775
Ford,Escape,2019,23630,17591
Mazda,CX-5,2019,21695,43501
Chrysler,300,2014,9895,143561
Subaru,Outback,2013,10599,114067
Ford,Escape,2019,24595,29433
Kia,Telluride,2020,32749,20606
Mercedes-Benz,C-Class,2015,15900,96844
BMW,X7,2019,59488,37218
Chevrolet,Blazer,2019,31900,7943
BMW,3 Series,2018,26995,45320
Chrysler,Pacifica,2020,30972,66641
Honda,CR-V,2017,22995,50982
Nissan,Rogue,2017,14500,68358
Mercedes-Benz,GLC,2019,39995,34221
Ford,F-150,2017,40995,95665
Toyota,Venza,2009,9900,116595
Nissan,Altima,2020,20596,61378
Lexus,RX,2018,38494,26228
Jeep,Grand Cherokee,2019,34999,25684
Dodge,Charger,2019,23995,51218
Mazda,CX-5,2021,29995,10575
Audi,Q5,2018,31595,34648
Toyota,RAV4,2018,32291,11134
Ford,F-150,2020,45995,16121
Lincoln,Nautilus,2019,36998,40239
Ram,2500,2018,25495,147288
Ford,F-150,2020,37895,33212
Jeep,Cherokee,2019,20590,69466
Honda,Odyssey,2016,25997,29862
GMC,Acadia,2019,28830,27372
Jeep,Cherokee,2019,25995,38634
Porsche,Cayenne,2019,89750,4372
Toyota,Highlander,2019,30998,44337
Jeep,Cherokee,2019,27995,23167
Chevrolet,Tahoe,2019,45695,36291
Jeep,Compass,2019,24998,28508
Jeep,Grand Cherokee,2019,39998,32152
Ford,Escape,2019,23295,38595
Honda,CR-V,2019,28599,42741
Nissan,Rogue,2019,18395,36217
Jeep,Cherokee,2019,16995,122678
Acura,MDX,2016,23990,52464
Jeep,Wrangler,2018,45998,33970
Ford,Explorer,2016,18998,122277
Cadillac,XT4,2019,35995,17719
Ford,F-150,2018,35595,54005
Bentley,Bentayga,2021,289500,3948
Ford,Explorer,2019,34595,15998
Ford,Escape,2019,21995,35061
Nissan,Altima,2020,24990,24261
Ford,F-150,2018,28998,59287
INFINITI,QX60,2018,26491,36681
Honda,Accord,2020,32295,20239
Ford,Explorer,2013,15649,125221
Ford,Escape,2019,23295,33555
BMW,X3,2019,34700,26984
Jeep,Grand Cherokee,2019,29988,53867
Toyota,Camry,2007,6519,100520
Audi,Q5,2018,31995,20140
BMW,6 Series,2013,31985,40615
GMC,Yukon,2016,22998,155832
Volvo,XC40,2021,44500,3250
Toyota,Tundra,2014,16990,140275
Nissan,Rogue,2019,19190,20000
Audi,A4,2018,24986,56763
Lexus,RX,2019,38003,28438
Mercedes-Benz,GLC,2021,43998,9937
Mercedes-Benz,GLE,2018,49995,56925
Lincoln,MKX,2012,10995,100887
Honda,Ridgeline,2011,11499,197278
Mercedes-Benz,S-Class,2017,77969,61773
Jeep,Cherokee,2019,27777,25921
Lincoln,Nautilus,2019,37990,34438
Ram,1500 Classic,2019,28495,43336
GMC,Terrain,2019,23500,37766
Ford,Explorer,2020,36675,23701
Chevrolet,Trax,2019,18500,38117
Ford,Edge,2019,29295,15126
Kia,Forte,2020,17300,28408
Chevrolet,Tahoe,2020,37990,62930
Subaru,Forester,2020,28889,24076
Mercedes-Benz,CLK,2006,9995,83760
Toyota,RAV4,2019,26688,48356
Kia,Sorento,2015,12000,99000
Mazda,CX-5,2018,19999,95854
Nissan,Rogue,2019,17895,53927
Toyota,Camry,2009,7495,167845
Dodge,Challenger,2021,23800,28900
Nissan,Pathfinder,2018,27900,21352
Mazda,CX-5,2019,25890,28738
Lexus,RX,2019,39990,18246
